rxnorm,snomed
1601384,715958001
1601385,715958001
2284102,715958001
1601392,715958001
1601380,715958001
2284107,715958001
2284105,715958001
1601388,715958001
1601379,715958001
2284101,715958001
1601377,715958001
1601378,715958001
1873991,732257004
1923058,732257004
1923056,732257004
1923054,732257004
1873995,732257004
1873993,732257004
1873992,732257004
1873990,732257004
1923057,732257004
1923055,732257004
1923053,732257004
1873994,732257004
1873989,732257004
1873986,732257004
1873987,732257004
1873988,732257004
1873983,732257004
1873982,732257004
1873980,732257004
1873981,732257004
1946840,761851004
1946844,761851004
1946848,761851004
1946836,761851004
1946833,761851004
1946834,761851004
1946835,761851004
1946830,761851004
1946842,761851004
1946838,761851004
1946846,761851004
1946829,761851004
1946827,761851004
1946828,761851004
1597593,432162002
1942485,432162002
1942489,432162002
1597590,432162002
1942484,432162002
1597591,432162002
1597592,432162002
1942482,432162002
1942487,432162002
1597587,432162002
1597586,432162002
1942481,432162002
1597584,432162002
1597585,432162002
2099956,782199007
2099952,782199007
2099949,782199007
2099950,782199007
2099951,782199007
2099946,782199007
2099954,782199007
2099945,782199007
2099943,782199007
2099944,782199007
1792785,719371003
2119696,719371003
1792783,719371003
1792784,719371003
1792780,719371003
2119695,719371003
1792779,719371003
1792778,719371003
2169320,788050002
2169322,788050002
2169314,788050002
2169319,788050002
2169321,788050002
2169311,788050002
2169307,788050002
2169318,788050002
2169313,788050002
2169304,788050002
2169305,788050002
2169306,788050002
2169310,788050002
2169300,788050002
2169316,788050002
2169299,788050002
2169297,788050002
2169298,788050002
1490067,109029006
368299,109029006
1171809,109029006
1171810,109029006
1490065,109029006
373747,109029006
1164805,109029006
1164806,109029006
152880,387588002
368304,387588002
1174686,387588002
1174687,387588002
313428,387588002
374167,387588002
1157658,387588002
1157659,387588002
727954,385519002
727953,385519002
1174691,385519002
727762,385519002
727760,385519002
1156671,385519002
105630,373345002
644304,373345002
644303,373345002
93514,373345002
1184837,373345002
1184838,373345002
1185105,373345002
1185106,373345002
198240,373345002
313195,373345002
250423,373345002
389230,373345002
374020,373345002
393416,373345002
1164213,373345002
1164214,373345002
1164215,373345002
151124,386910003
367866,386910003
1170752,386910003
1170753,386910003
199224,386910003
370588,386910003
1157702,386910003
1157703,386910003
261317,387017005
368218,387017005
1170770,387017005
1170771,387017005
310261,387017005
375061,387017005
1163788,387017005
1163789,387017005
1923058,386911004
1923056,386911004
1923054,386911004
1923057,386911004
1923055,386911004
1923053,386911004
153124,386911004
368318,386911004
1176624,386911004
1176625,386911004
200064,386911004
372571,386911004
1163195,386911004
1163196,386911004
1488617,397198002
1488619,397198002
1488616,397198002
1488618,397198002
1946522,397198002
1946520,397198002
2371773,397198002
1115259,397198002
1115468,397198002
1115456,397198002
1115459,397198002
1115449,397198002
825333,397198002
825334,397198002
825335,397198002
825325,397198002
1115464,397198002
1115473,397198002
727602,397198002
825324,397198002
2371771,397198002
1173874,397198002
1181489,397198002
2371772,397198002
545848,397198002
1946521,397198002
545835,397198002
752894,397198002
1115457,397198002
1115447,397198002
1115257,397198002
1115467,397198002
1115472,397198002
1116124,397198002
1115454,397198002
1115462,397198002
1946519,397198002
752899,397198002
752889,397198002
583425,397198002
752884,397198002
372576,397198002
378232,397198002
727599,397198002
1163443,397198002
247495,395744006
105629,395744006
374890,395744006
379275,395744006
1151370,395744006
1151369,395744006
1151371,395744006
105641,108771008
211544,108771008
370482,108771008
1188163,108771008
314008,108771008
310592,108771008
379243,108771008
1156883,108771008
885111,126092000
366114,126092000
1183807,126092000
1183808,126092000
860231,126092000
860221,126092000
577154,126092000
860215,126092000
